pointname,infestationname,Year,Count,geometry,dotcolor,Notes
CBOH 88,Cold Bay Orange Hawkweed,2023,0,c(-162.722480254967, 55.2027774057797),gray
CBOH 89,Cold Bay Orange Hawkweed,2023,0,c(-162.721969654299, 55.2019739227089),gray
CBOH 9,Cold Bay Orange Hawkweed,2023,0,c(-162.721479075741, 55.2013036252879),gray
CBOH 90,Cold Bay Orange Hawkweed,2023,0,c(-162.721926425512, 55.2011580579868),gray
CBOH 91,Cold Bay Orange Hawkweed,2023,0,c(-162.721992679951, 55.202404877153),gray
CBOH 92,Cold Bay Orange Hawkweed,2023,0,c(-162.722410680983, 55.2031810738362),gray
CBOH 93,Cold Bay Orange Hawkweed,2023,0,c(-162.714630392375, 55.2005940817722),black
CBOH 94,Cold Bay Orange Hawkweed,2023,4,c(-162.715966788253, 55.2008714871599),black
CBOH 95,Cold Bay Orange Hawkweed,2023,0,c(-162.723425288978, 55.203196143321),gray
CBOH 96,Cold Bay Orange Hawkweed,2023,0,c(-162.722174408866, 55.2031900937391),gray
CBOH 97,Cold Bay Orange Hawkweed,2023,1,c(-162.715665393474, 55.2008282211007),#FD0E35
CBOH 98,Cold Bay Orange Hawkweed,2023,0,c(-162.721868377731, 55.2030479540828),gray
CBOH 99,Cold Bay Orange Hawkweed,2023,0,c(-162.716885506069, 55.2009920845981),#FD0E35
UGOH 1,Ugashik Orange Hawkweed,2023,3,c(-157.018466072996, 57.5677584989667),#5FA777
UGOH 10,Ugashik Orange Hawkweed,2023,1,c(-157.014839298086, 57.5697169408632),#5FA777
UGOH 100,Ugashik Orange Hawkweed,2023,0,c(-157.013694658522, 57.5702983507377),gray
UGOH 101,Ugashik Orange Hawkweed,2023,0,c(-157.020327922524, 57.5667616335653),#FD0E35
UGOH 102,Ugashik Orange Hawkweed,2023,1,c(-157.014748275502, 57.5697735336536),#5FA777
UGOH 103,Ugashik Orange Hawkweed,2023,0,c(-157.014362654772, 57.5697158153011),black
UGOH 104,Ugashik Orange Hawkweed,2023,5,c(-157.014747360122, 57.5697558281209),#5FA777
UGOH 105,Ugashik Orange Hawkweed,2023,5,c(-157.014242080823, 57.5694230705843),#5FA777
UGOH 106,Ugashik Orange Hawkweed,2023,9,c(-157.014070901485, 57.5697054399331),#5FA777
UGOH 107,Ugashik Orange Hawkweed,2023,0,c(-157.014769620138, 57.569569309377),black
UGOH 108,Ugashik Orange Hawkweed,2023,6,c(-157.02130913388, 57.5667234433505),#5FA777
UGOH 109,Ugashik Orange Hawkweed,2023,0,c(-157.020954734688, 57.5684071510023),black
UGOH 11,Ugashik Orange Hawkweed,2023,4,c(-157.014186361251, 57.5694748761007),#FD0E35
UGOH 110,Ugashik Orange Hawkweed,2023,3,c(-157.014696358631, 57.5695414653506),#5FA777
UGOH 111,Ugashik Orange Hawkweed,2023,0,c(-157.017318570318, 57.5680847225599),black
UGOH 112,Ugashik Orange Hawkweed,2023,1,c(-157.01421190419, 57.5693073925789),#5FA777
UGOH 113,Ugashik Orange Hawkweed,2023,9,c(-157.01423263494, 57.5693965250009),#5FA777
UGOH 114,Ugashik Orange Hawkweed,2023,NA,c(-157.019647946131, 57.5671461615924),gray
UGOH 115,Ugashik Orange Hawkweed,2023,1,c(-157.018159626635, 57.5678699814258),#FD0E35
UGOH 116,Ugashik Orange Hawkweed,2023,0,c(-157.014640442216, 57.5696796168632),black
UGOH 117,Ugashik Orange Hawkweed,2023,0,c(-157.020825704, 57.5684159171194),black
UGOH 118,Ugashik Orange Hawkweed,2023,NA,c(-157.014269251255, 57.5691083665716),gray
UGOH 119,Ugashik Orange Hawkweed,2023,0,c(-157.021338718773, 57.5672117530507),black
UGOH 12,Ugashik Orange Hawkweed,2023,1,c(-157.014593851666, 57.5694416959892),#FD0E35
UGOH 120,Ugashik Orange Hawkweed,2023,0,c(-157.021208983606, 57.567959625726),black
UGOH 13,Ugashik Orange Hawkweed,2023,1,c(-157.017896952109, 57.5679899142648),#5FA777
UGOH 14,Ugashik Orange Hawkweed,2023,NA,c(-157.014065, 57.569521),gray
UGOH 15,Ugashik Orange Hawkweed,2023,0,c(-157.018251248394, 57.5678619792944),#FD0E35
UGOH 16,Ugashik Orange Hawkweed,2023,0,c(-157.019530782329, 57.5672503806947),#FD0E35
UGOH 17,Ugashik Orange Hawkweed,2023,NA,c(-157.014312414491, 57.5690522910028),gray
UGOH 18,Ugashik Orange Hawkweed,2023,9,c(-157.014298836816, 57.5686024783208),gray
UGOH 19,Ugashik Orange Hawkweed,2023,3,c(-157.017930862176, 57.5679293708547),#5FA777
UGOH 2,Ugashik Orange Hawkweed,2023,5,c(-157.015314278007, 57.5677994653618),#5FA777
UGOH 20,Ugashik Orange Hawkweed,2023,0,c(-157.019711247974, 57.567156992774),black
UGOH 21,Ugashik Orange Hawkweed,2023,0,c(-157.019126391811, 57.5674400783424),black
UGOH 22,Ugashik Orange Hawkweed,2023,0,c(-157.014612830163, 57.5698584580216),black
UGOH 23,Ugashik Orange Hawkweed,2023,3,c(-157.017231199675, 57.5680303275743),#5FA777
UGOH 24,Ugashik Orange Hawkweed,2023,0,c(-157.01464899725, 57.5697665088725),black
UGOH 25,Ugashik Orange Hawkweed,2023,0,c(-157.02138424241, 57.5670068208025),#FD0E35
UGOH 26,Ugashik Orange Hawkweed,2023,8,c(-157.014371606797, 57.5684638048986),#5FA777
UGOH 27,Ugashik Orange Hawkweed,2023,0,c(-157.018094821373, 57.5678926288738),black
UGOH 28,Ugashik Orange Hawkweed,2023,3,c(-157.014630517984, 57.5695172953993),#5FA777
UGOH 29,Ugashik Orange Hawkweed,2023,NA,c(-157.020059343433, 57.5669603978073),gray
UGOH 3,Ugashik Orange Hawkweed,2023,NA,c(-157.01420226867, 57.5693795950874),gray
UGOH 30,Ugashik Orange Hawkweed,2023,9,c(-157.014552904526, 57.5682442646747),#5FA777
UGOH 31,Ugashik Orange Hawkweed,2023,0,c(-157.018383187488, 57.5677446295836),black
UGOH 32,Ugashik Orange Hawkweed,2023,7,c(-157.014013469757, 57.5697840909041),#5FA777
UGOH 33,Ugashik Orange Hawkweed,2023,0,c(-157.013515486176, 57.5705337097254),black
UGOH 34,Ugashik Orange Hawkweed,2023,5,c(-157.021271420844, 57.5674134568304),#5FA777
UGOH 35,Ugashik Orange Hawkweed,2023,0,c(-157.020768517727, 57.5664931248208),#FD0E35
UGOH 36,Ugashik Orange Hawkweed,2023,0,c(-157.02102361783, 57.5682249989871),black
UGOH 37,Ugashik Orange Hawkweed,2023,0,c(-157.014506309453, 57.5697103976544),black
UGOH 38,Ugashik Orange Hawkweed,2023,2,c(-157.018634667355, 57.5676354607925),#FD0E35
UGOH 39,Ugashik Orange Hawkweed,2023,2,c(-157.014763986388, 57.5697920951576),#5FA777
UGOH 4,Ugashik Orange Hawkweed,2023,NA,c(-157.012154263695, 57.5709105981475),gray
UGOH 40,Ugashik Orange Hawkweed,2023,0,c(-157.016518084783, 57.5694165496734),black
UGOH 41,Ugashik Orange Hawkweed,2023,3,c(-157.021249412567, 57.5666091252768),#FD0E35
UGOH 42,Ugashik Orange Hawkweed,2023,7,c(-157.021186090407, 57.5665533557513),#5FA777
UGOH 43,Ugashik Orange Hawkweed,2023,0,c(-157.015111090257, 57.5694522345005),black
UGOH 44,Ugashik Orange Hawkweed,2023,NA,c(-157.014031202828, 57.5696441355765),gray
UGOH 45,Ugashik Orange Hawkweed,2023,NA,c(-157.01397, 57.569686),gray
UGOH 46,Ugashik Orange Hawkweed,2023,NA,c(-157.019426754795, 57.5673131065905),gray
UGOH 47,Ugashik Orange Hawkweed,2023,7,c(-157.014323244901, 57.5693586214237),#5FA777
UGOH 48,Ugashik Orange Hawkweed,2023,NA,c(-157.013995, 57.569653),gray
UGOH 49,Ugashik Orange Hawkweed,2023,0,c(-157.018344263725, 57.5677644095644),black
UGOH 5,Ugashik Orange Hawkweed,2023,NA,c(-157.015906941945, 57.5683450069141),gray
UGOH 50,Ugashik Orange Hawkweed,2023,0,c(-157.012523401914, 57.5708567681634),black
UGOH 51,Ugashik Orange Hawkweed,2023,0,c(-157.014917784326, 57.5697264465164),#FD0E35
UGOH 52,Ugashik Orange Hawkweed,2023,NA,c(-157.013845844647, 57.5700942043943),gray
UGOH 53,Ugashik Orange Hawkweed,2023,3,c(-157.018560650602, 57.5676759784146),#FD0E35
UGOH 54,Ugashik Orange Hawkweed,2023,0,c(-157.020911821616, 57.5683164767491),black
UGOH 55,Ugashik Orange Hawkweed,2023,5,c(-157.021322034592, 57.5670577050688),#5FA777
UGOH 56,Ugashik Orange Hawkweed,2023,0,c(-157.01502882591, 57.5693415086678),black
UGOH 57,Ugashik Orange Hawkweed,2023,0,c(-157.014722279894, 57.5698552885248),black
UGOH 58,Ugashik Orange Hawkweed,2023,9,c(-157.015046647476, 57.5694016608772),#5FA777
UGOH 59,Ugashik Orange Hawkweed,2023,NA,c(-157.013744, 57.57008),gray
UGOH 6,Ugashik Orange Hawkweed,2023,0,c(-157.02117683376, 57.5673915259741),black
UGOH 60,Ugashik Orange Hawkweed,2023,9,c(-157.015939243402, 57.5677710183648),#5FA777
UGOH 61,Ugashik Orange Hawkweed,2023,3,c(-157.014998882497, 57.5694248200575),#5FA777
UGOH 62,Ugashik Orange Hawkweed,2023,2,c(-157.014283748422, 57.5691045902648),#FD0E35
UGOH 63,Ugashik Orange Hawkweed,2023,NA,c(-157.018802359342, 57.5675623006827),gray
UGOH 64,Ugashik Orange Hawkweed,2023,2,c(-157.015788220346, 57.5677798527757),#FD0E35
UGOH 65,Ugashik Orange Hawkweed,2023,1,c(-157.014824165943, 57.569810628425),#FD0E35
UGOH 66,Ugashik Orange Hawkweed,2023,NA,c(-157.017769172092, 57.568019745968),gray
UGOH 67,Ugashik Orange Hawkweed,2023,0,c(-157.021102535297, 57.5680970408424),black
UGOH 68,Ugashik Orange Hawkweed,2023,NA,c(-157.015093882229, 57.5678406053997),gray
UGOH 69,Ugashik Orange Hawkweed,2023,9,c(-157.014048397505, 57.5698159996785),black
UGOH 7,Ugashik Orange Hawkweed,2023,6,c(-157.014815231965, 57.5697966760339),#5FA777
UGOH 70,Ugashik Orange Hawkweed,2023,NA,c(-157.017517476987, 57.5680919403764),gray
UGOH 71,Ugashik Orange Hawkweed,2023,NA,c(-157.014864978642, 57.56796983815),gray
UGOH 72,Ugashik Orange Hawkweed,2023,0,c(-157.018178268045, 57.5678781087467),#FD0E35
UGOH 73,Ugashik Orange Hawkweed,2023,3,c(-157.021303073514, 57.5666654473404),black
UGOH 74,Ugashik Orange Hawkweed,2023,2,c(-157.015791765787, 57.5694047969364),#FD0E35
UGOH 75,Ugashik Orange Hawkweed,2023,NA,c(-157.013005655595, 57.5707457048373),gray
UGOH 76,Ugashik Orange Hawkweed,2023,0,c(-157.020859157326, 57.5682963294554),black
UGOH 77,Ugashik Orange Hawkweed,2023,3,c(-157.018269267823, 57.5678110601701),#FD0E35
UGOH 78,Ugashik Orange Hawkweed,2023,NA,c(-157.014073, 57.569393),gray
UGOH 79,Ugashik Orange Hawkweed,2023,7,c(-157.017636184026, 57.5680927998208),#5FA777
UGOH 8,Ugashik Orange Hawkweed,2023,NA,c(-157.021312538927, 57.567051457482),gray
UGOH 80,Ugashik Orange Hawkweed,2023,0,c(-157.021400682522, 57.5669644477492),#FD0E35
UGOH 81,Ugashik Orange Hawkweed,2023,NA,c(-157.021198354346, 57.5670820656982),gray
UGOH 82,Ugashik Orange Hawkweed,2023,1,c(-157.014915920999, 57.5698818929153),gray
UGOH 83,Ugashik Orange Hawkweed,2023,0,c(-157.01993643361, 57.567037878094),#FD0E35
UGOH 84,Ugashik Orange Hawkweed,2023,0,c(-157.019613174347, 57.5671779560485),black
UGOH 85,Ugashik Orange Hawkweed,2023,0,c(-157.018908193614, 57.567506501536),black
UGOH 86,Ugashik Orange Hawkweed,2023,NA,c(-157.014434463273, 57.56896845757),gray
UGOH 87,Ugashik Orange Hawkweed,2023,0,c(-157.017619542805, 57.5681241411348),black
UGOH 88,Ugashik Orange Hawkweed,2023,2,c(-157.01601692531, 57.5678711251704),#FD0E35
UGOH 89,Ugashik Orange Hawkweed,2023,3,c(-157.014685051875, 57.5696162155391),#5FA777
UGOH 9,Ugashik Orange Hawkweed,2023,4.5,c(-157.021264504478, 57.5671966210645),#5FA777
UGOH 90,Ugashik Orange Hawkweed,2023,1,c(-157.017875556626, 57.5680392747259),#5FA777
UGOH 91,Ugashik Orange Hawkweed,2023,0,c(-157.021302717631, 57.5676736287007),black
UGOH 92,Ugashik Orange Hawkweed,2023,1,c(-157.01472233911, 57.5696262021335),black
UGOH 93,Ugashik Orange Hawkweed,2023,NA,c(-157.019037804195, 57.5674620468274),gray
UGOH 94,Ugashik Orange Hawkweed,2023,1,c(-157.018718286455, 57.5676301790586),#5FA777
UGOH 95,Ugashik Orange Hawkweed,2023,9,c(-157.015688663292, 57.5694147571728),black
UGOH 96,Ugashik Orange Hawkweed,2023,0,c(-157.021327441602, 57.5670706940137),black
UGOH 97,Ugashik Orange Hawkweed,2023,NA,c(-157.014115, 57.569504),gray
UGOH 98,Ugashik Orange Hawkweed,2023,NA,c(-157.018017419506, 57.5680029926651),gray
UGOH 99,Ugashik Orange Hawkweed,2023,0,c(-157.020909274143, 57.5685821660402),black
CBCT 1,Cold Bay Creeping Thistle,2024,0,c(-162.716314602359, 55.2065345555445),black
CBCT 10,Cold Bay Creeping Thistle,2024,0,c(-162.715017011087, 55.204439316198),black
CBCT 100,Cold Bay Creeping Thistle,2024,0,c(-162.716266824035, 55.206943518561),black
CBCT 101,Cold Bay Creeping Thistle,2024,4,c(-162.715364663815, 55.2054361482022),#FD0E35
CBCT 102,Cold Bay Creeping Thistle,2024,0,c(-162.714252811762, 55.2065873837149),#5FA777
CBCT 103,Cold Bay Creeping Thistle,2024,2,c(-162.715043007031, 55.2052469649565),black
CBCT 104,Cold Bay Creeping Thistle,2024,3,c(-162.717682906819, 55.2066318602794),#FD0E35
CBCT 105,Cold Bay Creeping Thistle,2024,0,c(-162.71519891477, 55.2067380514523),black
CBCT 106,Cold Bay Creeping Thistle,2024,NA,c(-162.714130232462, 55.2062329461834),gray
CBCT 107,Cold Bay Creeping Thistle,2024,0,c(-162.716375946706, 55.206558263534),black
CBCT 108,Cold Bay Creeping Thistle,2024,0,c(-162.714496458338, 55.2048689045627),black
CBCT 109,Cold Bay Creeping Thistle,2024,1,c(-162.714317776361, 55.2054534839482),black
CBCT 11,Cold Bay Creeping Thistle,2024,1.5,c(-162.713916296158, 55.2054676794341),#FD0E35
CBCT 110,Cold Bay Creeping Thistle,2024,0,c(-162.714871367296, 55.2068184796405),black
CBCT 111,Cold Bay Creeping Thistle,2024,NA,c(-162.713152343111, 55.2062838669907),gray
CBCT 112,Cold Bay Creeping Thistle,2024,0,c(-162.715102397372, 55.204521762763),black
CBCT 113,Cold Bay Creeping Thistle,2024,NA,c(-162.713529570326, 55.2062652044811),gray
CBCT 114,Cold Bay Creeping Thistle,2024,0,c(-162.599032585746, 55.1472980208469),#5FA777
CBCT 115,Cold Bay Creeping Thistle,2024,1,c(-162.713159234649, 55.2062993343704),#5FA777
CBCT 116,Cold Bay Creeping Thistle,2024,0,c(-162.714045765466, 55.2061674231526),black
CBCT 117,Cold Bay Creeping Thistle,2024,0,c(-162.714106534519, 55.2048923131574),black
CBCT 118,Cold Bay Creeping Thistle,2024,4,c(-162.714735081156, 55.2053053079834),#FD0E35
CBCT 119,Cold Bay Creeping Thistle,2024,0,c(-162.715437645278, 55.2062173670506),black
CBCT 12,Cold Bay Creeping Thistle,2024,NA,c(-162.713319974413, 55.2064849045438),gray
CBCT 120,Cold Bay Creeping Thistle,2024,0,c(-162.713985857592, 55.2044694414273),black
CBCT 13,Cold Bay Creeping Thistle,2024,0,c(-162.71425458432, 55.2047286756872),black
CBCT 14,Cold Bay Creeping Thistle,2024,0,c(-162.715056262885, 55.2045210297036),black
CBCT 15,Cold Bay Creeping Thistle,2024,2,c(-162.599012979898, 55.1471154857929),#5FA777
CBCT 16,Cold Bay Creeping Thistle,2024,1,c(-162.714693108872, 55.2045862882149),#FD0E35
CBCT 17,Cold Bay Creeping Thistle,2024,0,c(-162.714202532539, 55.2060863349216),#5FA777
CBCT 18_,Cold Bay Creeping Thistle,2024,0,c(-162.7149404294, 55.2049406988741),black
CBCT 19,Cold Bay Creeping Thistle,2024,0,c(-162.714748500689, 55.2045571599764),#5FA777
CBCT 2,Cold Bay Creeping Thistle,2024,0,c(-162.715021375394, 55.2052249544945),#5FA777
CBCT 20,Cold Bay Creeping Thistle,2024,3,c(-162.714076840268, 55.206381515573),#FD0E35
CBCT 21,Cold Bay Creeping Thistle,2024,2,c(-162.713069693244, 55.2061553476709),#FD0E35
CBCT 22,Cold Bay Creeping Thistle,2024,0,c(-162.714202025446, 55.2062798063981),black
CBCT 23,Cold Bay Creeping Thistle,2024,0,c(-162.713687979382, 55.2061396966528),#5FA777
CBCT 24,Cold Bay Creeping Thistle,2024,NA,c(-162.715211530313, 55.2064077836494),gray
CBCT 25,Cold Bay Creeping Thistle,2024,0,c(-162.598748553111, 55.1473266402217),#5FA777
CBCT 26,Cold Bay Creeping Thistle,2024,0,c(-162.714595611803, 55.2055094752318),black
CBCT 27,Cold Bay Creeping Thistle,2024,0,c(-162.713986518567, 55.204499011586),black
CBCT 28,Cold Bay Creeping Thistle,2024,0,c(-162.714494828667, 55.2058922458469),black
CBCT 29,Cold Bay Creeping Thistle,2024,0,c(-162.715375310415, 55.2053565381816),black
CBCT 3,Cold Bay Creeping Thistle,2024,0,c(-162.714278133362, 55.2060738395463),black
CBCT 30,Cold Bay Creeping Thistle,2024,1,c(-162.599112332821, 55.1471335005085),#5FA777
CBCT 31,Cold Bay Creeping Thistle,2024,0,c(-162.71811659282, 55.2064646270793),black
CBCT 32,Cold Bay Creeping Thistle,2024,0,c(-162.71495999793, 55.204999555209),#5FA777
CBCT 33,Cold Bay Creeping Thistle,2024,0,c(-162.714215454919, 55.2059536950969),black
CBCT 34,Cold Bay Creeping Thistle,2024,0,c(-162.715086637229, 55.2059779947138),black
CBCT 35,Cold Bay Creeping Thistle,2024,0,c(-162.714202389976, 55.2047608273267),black
CBCT 36,Cold Bay Creeping Thistle,2024,NA,c(-162.714886765603, 55.2054376956238),gray
CBCT 37,Cold Bay Creeping Thistle,2024,0,c(-162.714540788108, 55.2056770577378),black
CBCT 38,Cold Bay Creeping Thistle,2024,1,c(-162.71432826229, 55.2054554130881),black
CBCT 39,Cold Bay Creeping Thistle,2024,NA,c(-162.714900564914, 55.2054533821643),gray
CBCT 4,Cold Bay Creeping Thistle,2024,0,c(-162.718200098787, 55.2066802299031),black
CBCT 40,Cold Bay Creeping Thistle,2024,0,c(-162.71674633781, 55.2070207298736),#5FA777
CBCT 41,Cold Bay Creeping Thistle,2024,0,c(-162.715056724874, 55.2056645400548),#5FA777
CBCT 42,Cold Bay Creeping Thistle,2024,0,c(-162.71517493018, 55.205083522527),black
CBCT 43,Cold Bay Creeping Thistle,2024,0,c(-162.713964424285, 55.2065391693979),#5FA777
CBCT 44,Cold Bay Creeping Thistle,2024,0,c(-162.716494345494, 55.2066546992546),black
CBCT 45,Cold Bay Creeping Thistle,2024,0,c(-162.714983412199, 55.2061484561216),black
CBCT 46,Cold Bay Creeping Thistle,2024,0,c(-162.715158490008, 55.2054627981918),#5FA777
CBCT 47,Cold Bay Creeping Thistle,2024,0,c(-162.714913758475, 55.2051326845815),#5FA777
CBCT 48,Cold Bay Creeping Thistle,2024,1,c(-162.598916991225, 55.1473728791491),#FD0E35
CBCT 49,Cold Bay Creeping Thistle,2024,0,c(-162.713958359972, 55.2058508330397),black
CBCT 5,Cold Bay Creeping Thistle,2024,NA,c(-162.714913019561, 55.2062752859115),gray
CBCT 50,Cold Bay Creeping Thistle,2024,0,c(-162.716640823822, 55.2070094108061),black
CBCT 51,Cold Bay Creeping Thistle,2024,0,c(-162.718154519462, 55.206643673006),black
CBCT 52,Cold Bay Creeping Thistle,2024,2,c(-162.714076756162, 55.2054660339863),#FD0E35
CBCT 53,Cold Bay Creeping Thistle,2024,0,c(-162.714099591145, 55.2046154434295),black
CBCT 54,Cold Bay Creeping Thistle,2024,0,c(-162.714215845752, 55.2053592462246),black
CBCT 55,Cold Bay Creeping Thistle,2024,0,c(-162.71445959325, 55.2045491666849),black
CBCT 56,Cold Bay Creeping Thistle,2024,0,c(-162.713805135634, 55.2059115378689),black
CBCT 57,Cold Bay Creeping Thistle,2024,0,c(-162.717800432248, 55.2066848667669),black
CBCT 58,Cold Bay Creeping Thistle,2024,0,c(-162.715291607415, 55.2068148755142),black
CBCT 59,Cold Bay Creeping Thistle,2024,0,c(-162.714437842067, 55.205812792437),black
CBCT 6,Cold Bay Creeping Thistle,2024,0,c(-162.715229863909, 55.2063709315207),black
CBCT 60,Cold Bay Creeping Thistle,2024,0,c(-162.714032484369, 55.2051785444066),black
CBCT 61,Cold Bay Creeping Thistle,2024,0,c(-162.714149861794, 55.2049379130273),black
CBCT 62,Cold Bay Creeping Thistle,2024,0,c(-162.716480137202, 55.2069066704039),black
CBCT 63,Cold Bay Creeping Thistle,2024,0,c(-162.715171822812, 55.2061016835592),black
CBCT 64,Cold Bay Creeping Thistle,2024,0.5,c(-162.717936161071, 55.2067309215136),#FD0E35
CBCT 65,Cold Bay Creeping Thistle,2024,0,c(-162.71513760817, 55.2051692655153),black
CBCT 66,Cold Bay Creeping Thistle,2024,0,c(-162.715006780753, 55.2063836127663),black
CBCT 67,Cold Bay Creeping Thistle,2024,0,c(-162.714632609919, 55.2052545007325),#5FA777
CBCT 68,Cold Bay Creeping Thistle,2024,0,c(-162.716138074435, 55.2064629004979),black
CBCT 69,Cold Bay Creeping Thistle,2024,1,c(-162.713742927307, 55.2065729246464),#FD0E35
CBCT 7,Cold Bay Creeping Thistle,2024,0,c(-162.713279149245, 55.2064804403796),black
CBCT 70,Cold Bay Creeping Thistle,2024,0,c(-162.715313405015, 55.2067794467276),gray
CBCT 71,Cold Bay Creeping Thistle,2024,0,c(-162.715058913599, 55.2046895873037),black
CBCT 72,Cold Bay Creeping Thistle,2024,0,c(-162.714403348716, 55.2045253886471),black
CBCT 73,Cold Bay Creeping Thistle,2024,0,c(-162.718006967648, 55.2068148913377),black
CBCT 74,Cold Bay Creeping Thistle,2024,0,c(-162.713776231145, 55.2059891682903),#5FA777
CBCT 75,Cold Bay Creeping Thistle,2024,0,c(-162.714780495549, 55.20646649044),#5FA777
CBCT 76,Cold Bay Creeping Thistle,2024,6,c(-162.714674874698, 55.205139557405),#FD0E35
CBCT 77,Cold Bay Creeping Thistle,2024,NA,c(-162.714337968693, 55.2050381797464),gray
CBCT 78,Cold Bay Creeping Thistle,2024,0,c(-162.714297308633, 55.2067212031729),#5FA777
CBCT 79,Cold Bay Creeping Thistle,2024,0,c(-162.713535682121, 55.2064289747671),#5FA777
CBCT 8,Cold Bay Creeping Thistle,2024,0,c(-162.714584583571, 55.2044835714626),#5FA777
CBCT 80,Cold Bay Creeping Thistle,2024,0,c(-162.715203176433, 55.2062741267013),black
CBCT 81,Cold Bay Creeping Thistle,2024,0,c(-162.714692735816, 55.205971269706),black
CBCT 82,Cold Bay Creeping Thistle,2024,0,c(-162.714639064377, 55.2047159766653),black
CBCT 83,Cold Bay Creeping Thistle,2024,2,c(-162.713869308147, 55.2061654841458),#FD0E35
CBCT 84,Cold Bay Creeping Thistle,2024,0,c(-162.714249402796, 55.2056521209468),black
CBCT 85,Cold Bay Creeping Thistle,2024,1,c(-162.714826278811, 55.2054398402938),black
CBCT 86,Cold Bay Creeping Thistle,2024,1,c(-162.71491609734, 55.2046232582964),#5FA777
CBCT 87,Cold Bay Creeping Thistle,2024,0,c(-162.714085345844, 55.2052809964364),#5FA777
CBCT 88,Cold Bay Creeping Thistle,2024,0,c(-162.714641425362, 55.2054223872829),black
CBCT 89,Cold Bay Creeping Thistle,2024,0,c(-162.714363436599, 55.2055834728552),black
CBCT 9,Cold Bay Creeping Thistle,2024,0,c(-162.713210899031, 55.206106402328),black
CBCT 90,Cold Bay Creeping Thistle,2024,1,c(-162.714870786907, 55.2046304091658),#FD0E35
CBCT 91,Cold Bay Creeping Thistle,2024,NA,c(-162.713162490319, 55.2062836831436),gray
CBCT 92,Cold Bay Creeping Thistle,2024,1,c(-162.713349886194, 55.2063243248345),#5FA777
CBCT 93,Cold Bay Creeping Thistle,2024,0,c(-162.713195186757, 55.2065161574975),black
CBCT 94,Cold Bay Creeping Thistle,2024,0,c(-162.71411224788, 55.2059648578267),#5FA777
CBCT 95,Cold Bay Creeping Thistle,2024,0,c(-162.714554370858, 55.2059692854278),gray
CBCT 96,Cold Bay Creeping Thistle,2024,0,c(-162.714697909755, 55.2048153762809),black
CBCT 97,Cold Bay Creeping Thistle,2024,0,c(-162.714897470927, 55.2062806885113),gray
CBCT 98,Cold Bay Creeping Thistle,2024,0,c(-162.715085127127, 55.2049896289321),black
CBCT 99,Cold Bay Creeping Thistle,2024,0,c(-162.714228125356, 55.2065202146699),black
CBOD 1,Cold Bay Oxeye Daisy,2024,0,c(-162.700359876865, 55.1961838815559),black
CBOD 10,Cold Bay Oxeye Daisy,2024,2,c(-162.712949982415, 55.2066324324009),#FD0E35
CBOD 11,Cold Bay Oxeye Daisy,2024,9,c(-162.70059951129, 55.1961066863494),#FD0E35
CBOD 12,Cold Bay Oxeye Daisy,2024,2,c(-162.712951661898, 55.2066129977594),#FD0E35
CBOD 13,Cold Bay Oxeye Daisy,2024,0,c(-162.713252624158, 55.2070170785534),black
CBOD 14,Cold Bay Oxeye Daisy,2024,0,c(-162.713371313656, 55.2067919236673),black
CBOD 15,Cold Bay Oxeye Daisy,2024,2,c(-162.712941682791, 55.2068329262871),#FD0E35
CBOD 16,Cold Bay Oxeye Daisy,2024,0,c(-162.713522636294, 55.2066986682957),black
CBOD 17,Cold Bay Oxeye Daisy,2024,9,c(-162.709620594362, 55.2045290454266),#FD0E35
